Item,Detail
Source,"WAHIS quantitative data export, Nigeria, downloaded file WAHIS_Quantitative_data_20260910.csv (1,112 rows x 19 columns). Treated as source of truth and never modified."
Study period,2006-2025 inclusive (20 calendar years). 2025 was treated as the latest complete calendar year represented in the extracted WAHIS dataset because observations were available for both January-June and July-December; 2026 was excluded because only January-June observations were available. 2005 was excluded as outside the pre-specified study period.
Diseases,"HPAI = ""High pathogenicity avian influenza viruses (Inf. with) (poultry)""; Rabies = ""Rabies virus (Inf. with)""; Trypanosomosis = ""Trypanosomosis (tsetse-transmitted) (-2021)""."
WAHIS row structure,"Three structurally distinct row types were identified. (a) Outbreak-carrying rows report ""New outbreaks"" only, with all count variables structurally absent; these are labelled ""Both animal categories"" in 2006-2019 and ""Domestic"" from 2020. (b) Animal-level records (Measuring units = ""Animal"") report Susceptible/Cases/Killed and disposed of/Slaughtered/Deaths/Vaccinated but never ""New outbreaks"". (c) Six 2026-format rows carry both, and fall outside the study period."
Aggregation rule,"For each disease-year, each metric is the straight SUM of that column over all raw rows of that disease-year. No rows were deduplicated. This is safe because row types (a) and (b) are mutually exclusive carriers: outbreak counts and count metrics never appear on the same row within the study period, and the two outbreak-row labellings never co-occur for the same Year/Semester/Disease/Administrative Division (0 of 522 keys). Summation therefore cannot double count across the WAHIS animal-category structure."
Missing vs zero,"A disease-year with no WAHIS row is retained as NA. ""-"" in any count column is parsed as NA, never 0. Group sums use min_count=1 so that a metric with no contributing observation stays NA. A reported 0 is a legitimate observed value and is preserved as 0 (e.g. HPAI 2020 = 1 reported outbreak, 0 reported cases). No interpolation, no zero-filling, no imputation was performed at any stage."
Statistics,Semester split tested with a two-sided exact binomial test against p=0.5. Year vs reported outbreaks tested with Spearman rank correlation computed on observed disease-years only.
Data completeness rule,"An animal-level record is a species-level row with Measuring units = ""Animal"". A record is counted as incomplete only when ALL FOUR core count variables (Cases, Killed and disposed of, Slaughtered, Deaths) are structurally absent. A reported 0 is never treated as missing. A stricter ""fully populated"" count (all four variables present) is reported alongside for transparency."
Administrative division harmonisation,"""Nassarawa"" (used 2021-2022) and ""Nasarawa"" (used 2006-2018) are the same Nigerian state and were merged to ""Nasarawa"" for the geographic analysis. Unharmonised figures are also reported in the QC sheet. ""Nigeria"" appears as an administrative division on a small number of records where no state was resolved and is retained as a separate, explicitly labelled row that cannot be mapped."
Interpretation constraint,"All outbreak and case figures are REPORTED counts from WAHIS. Geographic patterns describe the geographic concentration of reported outbreaks, not true incidence, true prevalence, or population-adjusted burden: the dataset contains no animal population denominators and no measure of reporting or diagnostic intensity."
Reporting delay,"The quantitative dataset contains no submission-date field, so reporting delay was not and cannot be measured."
